LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
-37.78349,145.25601,1981,9,23,4.99,5.74,10.07
-37.78349,145.25601,1981,9,24,4.66,4.89,10.24
-37.78349,145.25601,1981,9,25,0.33,4.98,13.43
-37.78349,145.25601,1981,9,26,6.35,3.95,14.22
-37.78349,145.25601,1981,9,27,12.47,5.41,10.55
-37.78349,145.25601,1981,9,28,1.36,5.14,13.46
-37.78349,145.25601,1981,9,29,0.09,5.63,16.23
-37.78349,145.25601,1981,9,30,3.4,8.08,17.46
-37.78349,145.25601,1981,10,1,3.2,7.01,16.02
-37.78349,145.25601,1981,10,2,18.87,10.48,17.07
-37.78349,145.25601,1981,10,3,8.32,5.69,12.53
-37.78349,145.25601,1981,10,4,1.81,4.66,13.73
-37.78349,145.25601,1981,10,5,0.28,8.01,16.95
-37.78349,145.25601,1981,10,6,0,7.9,20.19
-37.78349,145.25601,1981,10,7,0.03,7.58,16.26
-37.78349,145.25601,1981,10,8,0,5.43,18.05
-37.78349,145.25601,1981,10,9,0.58,8.73,20.4
-37.78349,145.25601,1981,10,10,0.01,5.32,13.69
-37.78349,145.25601,1981,10,11,0.01,4.47,14.37
-37.78349,145.25601,1981,10,12,0.04,3.87,18.73
-37.78349,145.25601,1981,10,13,0.02,7.92,20.95
-37.78349,145.25601,1981,10,14,0.71,6.78,16.87
-37.78349,145.25601,1981,10,15,1.37,5.65,13.37
-37.78349,145.25601,1981,10,16,0.07,6.18,13.97
-37.78349,145.25601,1981,10,17,2.46,5.54,14.58
-37.78349,145.25601,1981,10,18,0.21,6.54,18.33
-37.78349,145.25601,1981,10,19,0.54,9.07,18.99
-37.78349,145.25601,1981,10,20,9.04,9.45,16.38
-37.78349,145.25601,1981,10,21,3.51,9.25,16.14
-37.78349,145.25601,1981,10,22,0.67,7.78,14.06
-37.78349,145.25601,1981,10,23,0,5.13,14.41
-37.78349,145.25601,1981,10,24,0,5.18,17.27
-37.78349,145.25601,1981,10,25,0.02,6.5,20.11
-37.78349,145.25601,1981,10,26,0.12,7.43,22.49
-37.78349,145.25601,1981,10,27,10.06,12.53,23.34
-37.78349,145.25601,1981,10,28,2.15,9.07,20.01
-37.78349,145.25601,1981,10,29,0.02,8.96,20.1
-37.78349,145.25601,1981,10,30,0.01,9.41,19.02
-37.78349,145.25601,1981,10,31,0,8.34,17.32
-37.78349,145.25601,1981,11,1,0.53,7.2,20.81
-37.78349,145.25601,1981,11,2,0,9.08,22.31
-37.78349,145.25601,1981,11,3,0.25,10.84,23.41
-37.78349,145.25601,1981,11,4,11.85,9.3,17.66
-37.78349,145.25601,1981,11,5,0.33,7.93,16.72
-37.78349,145.25601,1981,11,6,1.78,6.35,14.73
-37.78349,145.25601,1981,11,7,0,4.23,19.37
-37.78349,145.25601,1981,11,8,0.06,7.95,23.12
-37.78349,145.25601,1981,11,9,8.3,11.7,20.96
-37.78349,145.25601,1981,11,10,9.94,10.19,18.8
-37.78349,145.25601,1981,11,11,1.53,8.42,15.99
-37.78349,145.25601,1981,11,12,5.51,7.36,15.09
-37.78349,145.25601,1981,11,13,5.25,7.28,15.36
-37.78349,145.25601,1981,11,14,0.24,7.17,16.36
-37.78349,145.25601,1981,11,15,3.61,7.2,12.34
-37.78349,145.25601,1981,11,16,1.52,5.99,12.45
-37.78349,145.25601,1981,11,17,4.78,6.25,14.68
-37.78349,145.25601,1981,11,18,0.91,8.72,19.49
-37.78349,145.25601,1981,11,19,2.44,7.87,19.62
-37.78349,145.25601,1981,11,20,2.46,11.46,19.21
-37.78349,145.25601,1981,11,21,0.18,10.23,20.21
-37.78349,145.25601,1981,11,22,0.1,9.32,24.07
-37.78349,145.25601,1981,11,23,0.64,12.16,25.48
-37.78349,145.25601,1981,11,24,9.19,9.66,18.27
-37.78349,145.25601,1981,11,25,0.1,7.61,20.93
-37.78349,145.25601,1981,11,26,0.02,9.38,25.09
-37.78349,145.25601,1981,11,27,0.07,10.98,28.75
-37.78349,145.25601,1981,11,28,4.24,15.34,27.14
-37.78349,145.25601,1981,11,29,1.77,11.19,21.54
-37.78349,145.25601,1981,11,30,0.42,9.35,20.32
-37.78349,145.25601,1981,12,1,0.01,9.14,20.16
-37.78349,145.25601,1981,12,2,1.2,9.86,26.39
-37.78349,145.25601,1981,12,3,1.05,10.38,20.78
-37.78349,145.25601,1981,12,4,0.01,9.05,28.84
-37.78349,145.25601,1981,12,5,0,12.68,23.54
-37.78349,145.25601,1981,12,6,0.15,11.19,24.85
-37.78349,145.25601,1981,12,7,1.01,11.97,18.59
-37.78349,145.25601,1981,12,8,2.34,9.13,17.58
-37.78349,145.25601,1981,12,9,2.84,10.34,18.82
-37.78349,145.25601,1981,12,10,0.1,8.89,25.58
-37.78349,145.25601,1981,12,11,6.05,15.34,27.66
-37.78349,145.25601,1981,12,12,7.48,11.58,23.47
-37.78349,145.25601,1981,12,13,7.19,8.83,16.06
-37.78349,145.25601,1981,12,14,1.9,8.63,17.8
-37.78349,145.25601,1981,12,15,0.01,8.41,22.28
-37.78349,145.25601,1981,12,16,0.01,10.2,28.49
-37.78349,145.25601,1981,12,17,0.01,14.13,31
-37.78349,145.25601,1981,12,18,0.29,12.68,27.3
-37.78349,145.25601,1981,12,19,0.24,11.05,21.75
-37.78349,145.25601,1981,12,20,0.08,8.97,21.86
-37.78349,145.25601,1981,12,21,0,9.54,24.24
-37.78349,145.25601,1981,12,22,0.01,11.13,22.36
-37.78349,145.25601,1981,12,23,0.01,9.91,23.23
-37.78349,145.25601,1981,12,24,0.06,11.26,21.28
-37.78349,145.25601,1981,12,25,0,9.07,22
-37.78349,145.25601,1981,12,26,0.55,11.88,22.12
-37.78349,145.25601,1981,12,27,0.51,11.91,21.04
-37.78349,145.25601,1981,12,28,0.01,11.54,26.17
-37.78349,145.25601,1981,12,29,0.14,11.78,24.49
-37.78349,145.25601,1981,12,30,0.02,11.3,30.94
-37.78349,145.25601,1981,12,31,1.24,16.19,34.96
-37.78349,145.25601,1982,1,1,0.2,14.51,26.6
-37.78349,145.25601,1982,1,2,0.4,12.74,23.03
-37.78349,145.25601,1982,1,3,0.13,10.66,24.91
-37.78349,145.25601,1982,1,4,0.12,10.87,21.52
-37.78349,145.25601,1982,1,5,0.05,8.86,25.74
-37.78349,145.25601,1982,1,6,2.34,12.23,27.02
-37.78349,145.25601,1982,1,7,2.9,10.77,20.76
-37.78349,145.25601,1982,1,8,0.13,12.09,25.87
-37.78349,145.25601,1982,1,9,0,12.66,30.57
-37.78349,145.25601,1982,1,10,0.01,14.71,34.92
-37.78349,145.25601,1982,1,11,0.28,20.65,37.78
-37.78349,145.25601,1982,1,12,1.44,16.26,31.59
-37.78349,145.25601,1982,1,13,0.18,12.81,22.05
-37.78349,145.25601,1982,1,14,0.08,10.58,25.04
-37.78349,145.25601,1982,1,15,0,11.66,30.32
-37.78349,145.25601,1982,1,16,0.16,16.61,33.94
-37.78349,145.25601,1982,1,17,0.87,15.49,29.52
-37.78349,145.25601,1982,1,18,0.12,13.44,32.51
-37.78349,145.25601,1982,1,19,0,17.27,35.22
-37.78349,145.25601,1982,1,20,0.02,22.21,37.9
-37.78349,145.25601,1982,1,21,0.63,20.03,37.17
-37.78349,145.25601,1982,1,22,0.21,14.67,24.59
-37.78349,145.25601,1982,1,23,0.18,12.78,35.98
-37.78349,145.25601,1982,1,24,10.28,20.06,42.74
-37.78349,145.25601,1982,1,25,36.6,13.71,20.51
-37.78349,145.25601,1982,1,26,2.57,11.42,18.52
-37.78349,145.25601,1982,1,27,0.43,10.09,22.39
-37.78349,145.25601,1982,1,28,0.01,10.9,28.78
-37.78349,145.25601,1982,1,29,1.74,15.98,32.77
-37.78349,145.25601,1982,1,30,1.48,13.73,23.82
-37.78349,145.25601,1982,1,31,0.13,11.63,21.69
-37.78349,145.25601,1982,2,1,0.07,11.32,21.23
-37.78349,145.25601,1982,2,2,0.02,9.92,24.51
-37.78349,145.25601,1982,2,3,0,12.45,22.68
-37.78349,145.25601,1982,2,4,0,11.48,22.99
-37.78349,145.25601,1982,2,5,0,9.22,27.76
-37.78349,145.25601,1982,2,6,0,11.63,32.36
-37.78349,145.25601,1982,2,7,0,17.5,36.55
-37.78349,145.25601,1982,2,8,0.56,17.65,35.38
-37.78349,145.25601,1982,2,9,0.22,12.56,22.22
-37.78349,145.25601,1982,2,10,0,10.32,30.74
-37.78349,145.25601,1982,2,11,0,13.93,26.11
-37.78349,145.25601,1982,2,12,0.09,14.02,34.99
-37.78349,145.25601,1982,2,13,0.27,19.01,36.91
-37.78349,145.25601,1982,2,14,0,22.31,37.34
-37.78349,145.25601,1982,2,15,0.34,23.19,36.24
-37.78349,145.25601,1982,2,16,2.85,15.15,25.08
-37.78349,145.25601,1982,2,17,0.03,13.47,27.41
-37.78349,145.25601,1982,2,18,0.18,12.61,22.05
-37.78349,145.25601,1982,2,19,0.04,10.91,24.96
-37.78349,145.25601,1982,2,20,1.98,16.07,26.01
-37.78349,145.25601,1982,2,21,0.18,13.52,23.19
-37.78349,145.25601,1982,2,22,0,11.18,30.24
-37.78349,145.25601,1982,2,23,0.19,12.47,23.63
-37.78349,145.25601,1982,2,24,0,10.07,22.96
-37.78349,145.25601,1982,2,25,0.04,9.3,26.15
-37.78349,145.25601,1982,2,26,0.97,10.01,18.27
-37.78349,145.25601,1982,2,27,0,7.5,24.35
-37.78349,145.25601,1982,2,28,0,9.99,24.39
-37.78349,145.25601,1982,3,1,0.42,9.68,19.88
-37.78349,145.25601,1982,3,2,0,8.6,24.56
-37.78349,145.25601,1982,3,3,0.01,10.37,29.45
-37.78349,145.25601,1982,3,4,0.06,15.11,31.94
-37.78349,145.25601,1982,3,5,0.08,17.44,33.56
-37.78349,145.25601,1982,3,6,6,18.24,24.25
-37.78349,145.25601,1982,3,7,0.09,17.05,30.38
-37.78349,145.25601,1982,3,8,17.99,10.9,24.49
-37.78349,145.25601,1982,3,9,0.03,9.27,19.02
-37.78349,145.25601,1982,3,10,1.16,8.17,19.9
-37.78349,145.25601,1982,3,11,0.05,9.54,22.43
-37.78349,145.25601,1982,3,12,0.38,11.56,24.14
-37.78349,145.25601,1982,3,13,0.26,11.88,29
-37.78349,145.25601,1982,3,14,0.45,13.79,30.17
-37.78349,145.25601,1982,3,15,3.95,16.24,29.61
-37.78349,145.25601,1982,3,16,3.57,16.14,26.84
-37.78349,145.25601,1982,3,17,0.63,13.02,21.18
-37.78349,145.25601,1982,3,18,0.2,10.06,21.9
-37.78349,145.25601,1982,3,19,0.09,9.39,26.22
-37.78349,145.25601,1982,3,20,0.03,13.04,28.48
-37.78349,145.25601,1982,3,21,0.08,17.54,28.49
