LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
47.00001,4.50001,1981,11,26,0.06,-2.9,4.39
47.00001,4.50001,1981,11,27,10.31,-1.83,8.33
47.00001,4.50001,1981,11,28,4.57,0.98,4.6
47.00001,4.50001,1981,11,29,1.82,0.14,3.37
47.00001,4.50001,1981,11,30,13.88,-0.7,5
47.00001,4.50001,1981,12,1,1.97,-1.86,5.29
47.00001,4.50001,1981,12,2,0.69,-1.37,2.6
47.00001,4.50001,1981,12,3,0.28,-3.75,2.61
47.00001,4.50001,1981,12,4,3.91,-2.5,4.15
47.00001,4.50001,1981,12,5,0.61,-1.23,2.58
47.00001,4.50001,1981,12,6,7.45,0.25,1.59
47.00001,4.50001,1981,12,7,9.64,0.75,4.81
47.00001,4.50001,1981,12,8,12.45,2.57,8.52
47.00001,4.50001,1981,12,9,6.37,-0.57,3.87
47.00001,4.50001,1981,12,10,2.18,0.09,4.22
47.00001,4.50001,1981,12,11,9.32,2.89,9.62
47.00001,4.50001,1981,12,12,1.23,-2.62,2.91
47.00001,4.50001,1981,12,13,6.27,-3.77,4.87
47.00001,4.50001,1981,12,14,4.74,2.78,6.03
47.00001,4.50001,1981,12,15,21.51,3.13,9.11
47.00001,4.50001,1981,12,16,7.85,1.47,8.44
47.00001,4.50001,1981,12,17,2.27,2.48,5.9
47.00001,4.50001,1981,12,18,15.62,-6.03,3.21
47.00001,4.50001,1981,12,19,0.38,-6.62,-1.69
47.00001,4.50001,1981,12,20,1.07,-8.13,-2.01
47.00001,4.50001,1981,12,21,2.15,-1.55,1.9
47.00001,4.50001,1981,12,22,1.33,-1.87,2
47.00001,4.50001,1981,12,23,4.13,-1.23,2.02
47.00001,4.50001,1981,12,24,7.55,-0.69,2.36
47.00001,4.50001,1981,12,25,1.06,-3.07,1.05
47.00001,4.50001,1981,12,26,0.1,-5.09,0.82
47.00001,4.50001,1981,12,27,4.04,-5.55,0.94
47.00001,4.50001,1981,12,28,11.15,-0.82,3.4
47.00001,4.50001,1981,12,29,4.24,2.29,4.48
47.00001,4.50001,1981,12,30,9.6,0.91,9.42
47.00001,4.50001,1981,12,31,1.29,3.51,10.09
47.00001,4.50001,1982,1,1,2.18,2.03,5.06
47.00001,4.50001,1982,1,2,0.41,1.92,5.07
47.00001,4.50001,1982,1,3,0.01,1.65,8.8
47.00001,4.50001,1982,1,4,3.84,5.17,10.99
47.00001,4.50001,1982,1,5,16.02,6.65,9.37
47.00001,4.50001,1982,1,6,8.45,-3.02,8.48
47.00001,4.50001,1982,1,7,0.29,-5.89,-2.67
47.00001,4.50001,1982,1,8,19.71,-4.24,5.33
47.00001,4.50001,1982,1,9,2.4,3.36,8.31
47.00001,4.50001,1982,1,10,6.38,2.91,6.25
47.00001,4.50001,1982,1,11,4.75,3.04,8.52
47.00001,4.50001,1982,1,12,1.11,-4.58,2.44
47.00001,4.50001,1982,1,13,0.07,-4.83,0.13
47.00001,4.50001,1982,1,14,0.07,-4.23,2.6
47.00001,4.50001,1982,1,15,0.03,-0.1,5.76
47.00001,4.50001,1982,1,16,0.05,0.83,7.32
47.00001,4.50001,1982,1,17,0,0.55,8.58
47.00001,4.50001,1982,1,18,0,-0.67,7.99
47.00001,4.50001,1982,1,19,0,1.31,9.11
47.00001,4.50001,1982,1,20,1.6,1.36,7.8
47.00001,4.50001,1982,1,21,6.93,3.38,6.76
